CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
80520550,-25.403621771614,-49.2770964271839,5,19:00:00,39.79043443797713,82520590,-25.4131761050287,-49.2261971905551,SIM,06:00:00
82520590,-25.4131761050287,-49.2261971905551,5,06:01:00,30,81590220,-25.4821304044981,-49.1983598981544,NÃO,06:17:00
81590220,-25.4821304044981,-49.1983598981544,5,06:18:00,31.35173193605678,82900480,-25.445789018659,-49.2173394258684,NÃO,06:26:00
82900480,-25.445789018659,-49.2173394258684,5,06:27:00,30,81240490,-25.4789005295822,-49.3358291909315,SIM,06:53:00
81240490,-25.4789005295822,-49.3358291909315,5,06:54:00,33.91646826681707,82700540,-25.3703488003616,-49.2570179996848,NÃO,07:20:00
82700540,-25.3703488003616,-49.2570179996848,5,07:21:00,30,80330250,-25.4685255880972,-49.3077515647853,SIM,07:46:00
80330250,-25.4685255880972,-49.3077515647853,5,07:47:00,32.7384297775043,82025060,-25.4094383254911,-49.3098019002186,NÃO,07:59:00
82025060,-25.4094383254911,-49.3098019002186,5,08:00:00,30,81870310,-25.524150444185,-49.290210168982,SIM,08:27:00
81870310,-25.524150444185,-49.290210168982,5,08:28:00,32.74084893931109,80230090,-25.4390390483783,-49.2723309760101,NÃO,08:46:00
80230090,-25.4390390483783,-49.2723309760101,5,08:47:00,30,81770160,-25.5296962833892,-49.244546883763,SIM,09:08:00
81770160,-25.5296962833892,-49.244546883763,5,09:09:00,32.166924907805324,82520150,-25.4121197273283,-49.2373089094202,NÃO,09:34:00
82520150,-25.4121197273283,-49.2373089094202,5,09:35:00,34.8596255482963,82860400,-25.3861406843164,-49.1978955789077,SIM,09:44:00
82860400,-25.3861406843164,-49.1978955789077,5,09:45:00,30,81470370,-25.5778784839382,-49.3341110960705,SIM,10:37:00
81470370,-25.5778784839382,-49.3341110960705,5,10:38:00,34.048067661246264,82530380,-25.4300625729625,-49.2336060009616,SIM,11:13:00
82530380,-25.4300625729625,-49.2336060009616,5,11:14:00,30,80730270,-25.4395442941516,-49.3020722939492,NÃO,11:28:00
80730270,-25.4395442941516,-49.3020722939492,5,11:29:00,32.92376161336086,82410316,-25.3849215000131,-49.328439749977,NÃO,11:41:00
82410316,-25.3849215000131,-49.328439749977,5,11:42:00,30,81110330,-25.5042910428287,-49.2847716627966,SIM,12:11:00
81110330,-25.5042910428287,-49.2847716627966,5,12:12:00,30,81450340,-25.4902346316319,-49.3486330527676,NÃO,12:25:00
81450340,-25.4902346316319,-49.3486330527676,5,12:26:00,31.669650754559928,81935474,-25.5506130891455,-49.245334911631,SIM,12:51:00
81935474,-25.5506130891455,-49.245334911631,5,12:52:00,35.733775804023246,82650060,-25.3808622827653,-49.242762203191,SIM,13:24:00
82650060,-25.3808622827653,-49.242762203191,5,13:25:00,30,81330220,-25.4843712333489,-49.3355483883407,SIM,13:56:00
81330220,-25.4843712333489,-49.3355483883407,5,13:57:00,37.041660749888166,81510040,-25.4602953492636,-49.2465827083158,NÃO,14:12:00
81510040,-25.4602953492636,-49.2465827083158,5,14:13:00,36.34772681366086,81590577,-25.4923383333506,-49.2002912221858,NÃO,14:23:00
81590577,-25.4923383333506,-49.2002912221858,5,14:24:00,30,81490010,-25.6154928550559,-49.3537353191769,SIM,15:06:00
81490010,-25.6154928550559,-49.3537353191769,5,15:07:00,31.339216885503358,81350320,-25.4992029361912,-49.3318588311607,NÃO,15:32:00
81350320,-25.4992029361912,-49.3318588311607,5,15:33:00,35.91351292735799,80045265,-25.430376,-49.248243,SIM,15:53:00
80045265,-25.430376,-49.248243,5,15:54:00,30,81450350,-25.4902280000456,-49.348047000162,NÃO,16:18:00
81450350,-25.4902280000456,-49.348047000162,5,16:19:00,37.871344263964545,81010170,-25.4783570614136,-49.2757205974116,SIM,16:32:00
81010170,-25.4783570614136,-49.2757205974116,5,16:33:00,30,81110240,-25.5012202607084,-49.2880626203316,NÃO,16:38:00
81110240,-25.5012202607084,-49.2880626203316,5,16:39:00,36.275155687376795,82940170,-25.454631812,-49.2228321157173,NÃO,16:53:00
82940170,-25.454631812,-49.2228321157173,5,16:54:00,30,82015720,-25.4187128462549,-49.3341400767781,SIM,17:19:00
82015720,-25.4187128462549,-49.3341400767781,5,17:20:00,30,81230560,-25.4618345263762,-49.3467354210512,NÃO,17:30:00
81230560,-25.4618345263762,-49.3467354210512,5,17:31:00,44.068532164229765,81070000,-25.4763966710448,-49.3031041977101,NÃO,17:37:00
81070000,-25.4763966710448,-49.3031041977101,5,17:38:00,30,81350686,-25.4936598469491,-49.3400481020638,NÃO,17:47:00
81350686,-25.4936598469491,-49.3400481020638,5,17:48:00,33.90203454786531,81480152,-25.5584308697738,-49.3207049341475,SIM,18:02:00
81480152,-25.5584308697738,-49.3207049341475,5,18:03:00,35.58943387613276,81150330,-25.5222469145844,-49.3046045806688,NÃO,18:10:00
81150330,-25.5222469145844,-49.3046045806688,5,18:11:00,31.65345518141828,80820310,-25.4086845373433,-49.2906611455039,SIM,18:36:00
80820310,-25.4086845373433,-49.2906611455039,5,18:37:00,35.85860858275325,82130470,-25.3763584193723,-49.2754817420857,NÃO,18:44:00
82130470,-25.3763584193723,-49.2754817420857,6,18:45:00,30.16850494695508,81825210,-25.5262738689431,-49.2736153558222,SIM,06:00:00
