CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82030020,-25.3946174297227,-49.3162606368294,3,17:26:00,30,82320340,-25.399199941043,-49.3477109219031,NÃO,17:33:00
82320340,-25.399199941043,-49.3477109219031,3,17:34:00,33,81330550,-25.4845347422664,-49.323856720273,SIM,17:52:00
81330550,-25.4845347422664,-49.323856720273,3,17:53:00,39,82720240,-25.3649974344476,-49.2309054649185,NÃO,18:18:00
82720240,-25.3649974344476,-49.2309054649185,3,18:19:00,30,81910390,-25.5316857069475,-49.261658650228,SIM,18:56:00
81910390,-25.5316857069475,-49.261658650228,4,06:00:00,30,80220380,-25.4622493336364,-49.2552576680305,NÃO,06:15:00
80220380,-25.4622493336364,-49.2552576680305,4,06:16:00,30,82810220,-25.4362783812433,-49.2176039050576,NÃO,06:26:00
82810220,-25.4362783812433,-49.2176039050576,4,06:27:00,32,80045270,-25.4269458358083,-49.2498379452408,SIM,06:33:00
80045270,-25.4269458358083,-49.2498379452408,4,06:34:00,32,81470055,-25.5630048148415,-49.3383968771216,SIM,07:07:00
81470055,-25.5630048148415,-49.3383968771216,4,07:08:00,30,81530380,-25.4625848305665,-49.2300931009572,SIM,07:39:00
81530380,-25.4625848305665,-49.2300931009572,4,07:40:00,30,82220133,-25.3760098333463,-49.2639595000711,NÃO,08:00:00
82220133,-25.3760098333463,-49.2639595000711,4,08:01:00,32,81230395,-25.4630444265055,-49.340662832648,SIM,08:25:00
81230395,-25.4630444265055,-49.340662832648,4,08:26:00,30,81350713,-25.496557235688,-49.3371662352983,NÃO,08:33:00
81350713,-25.496557235688,-49.3371662352983,4,08:34:00,30,81710380,-25.4967925893433,-49.2594143510465,NÃO,08:50:00
81710380,-25.4967925893433,-49.2594143510465,4,08:51:00,32,81470340,-25.5784518706724,-49.3362378687666,SIM,09:13:00
81470340,-25.5784518706724,-49.3362378687666,4,09:14:00,30,80210400,-25.4463780000737,-49.2468984999865,SIM,09:48:00
80210400,-25.4463780000737,-49.2468984999865,4,09:49:00,31,81510040,-25.4602953492636,-49.2465827083158,NÃO,09:52:00
81510040,-25.4602953492636,-49.2465827083158,4,09:53:00,30,81580050,-25.4911705040405,-49.228041043675,NÃO,10:01:00
81580050,-25.4911705040405,-49.228041043675,4,10:02:00,32,81030180,-25.4763519008138,-49.2647633349843,NÃO,10:10:00
81030180,-25.4763519008138,-49.2647633349843,4,10:11:00,32,81470256,-25.569416591018,-49.337872181861,SIM,10:35:00
81470256,-25.569416591018,-49.337872181861,4,10:36:00,30,81260412,-25.4811505865638,-49.3545312407406,NÃO,10:56:00
81260412,-25.4811505865638,-49.3545312407406,4,10:57:00,30,82650320,-25.3737566254647,-49.2469140011033,SIM,11:29:00
82650320,-25.3737566254647,-49.2469140011033,4,11:30:00,31,81580179,-25.4968867857253,-49.2235692856984,NÃO,11:57:00
81580179,-25.4968867857253,-49.2235692856984,4,11:58:00,30,81510160,-25.4561970876697,-49.2447744337813,SIM,12:08:00
81510160,-25.4561970876697,-49.2447744337813,4,12:09:00,33,81935050,-25.555508412277,-49.2544885303963,NÃO,12:29:00
81935050,-25.555508412277,-49.2544885303963,4,12:30:00,34,81350607,-25.5098119631631,-49.3366327775834,SIM,12:47:00
81350607,-25.5098119631631,-49.3366327775834,4,12:48:00,30,80010040,-25.433306347953,-49.2586024190518,NÃO,13:11:00
80010040,-25.433306347953,-49.2586024190518,4,13:12:00,30,81520250,-25.4595564842104,-49.2411990341756,NÃO,13:19:00
81520250,-25.4595564842104,-49.2411990341756,4,13:20:00,35,81490562,-25.6007006282316,-49.3302336035246,SIM,13:51:00
81490562,-25.6007006282316,-49.3302336035246,4,13:52:00,30,81450410,-25.4981067710058,-49.3448539613686,NÃO,14:15:00
81450410,-25.4981067710058,-49.3448539613686,4,14:16:00,30,81250482,-25.4865966553425,-49.3378683447999,NÃO,14:19:00
